TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1522.23
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1522.23
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1522.23
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1522.23
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1564.51
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1564.51
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1564.51
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1564.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1501.4
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1501.4
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1501.4
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1501.4
TORCHFORT::WANDB: model: rlwm, step: 4, reward_sum: 1721.09
TORCHFORT::WANDB: model: rlwm, step: 4, reward_sum: 1721.09
TORCHFORT::WANDB: model: rlwm, step: 4, reward_sum: 1721.09
TORCHFORT::WANDB: model: rlwm, step: 4, reward_sum: 1721.09
TORCHFORT::WANDB: model: rlwm, step: 5, reward_sum: 1556.41
TORCHFORT::WANDB: model: rlwm, step: 5, reward_sum: 1556.41
TORCHFORT::WANDB: model: rlwm, step: 5, reward_sum: 1556.41
TORCHFORT::WANDB: model: rlwm, step: 5, reward_sum: 1556.41
TORCHFORT::WANDB: model: rlwm, step: 6, reward_sum: 1624.96
TORCHFORT::WANDB: model: rlwm, step: 6, reward_sum: 1624.96
TORCHFORT::WANDB: model: rlwm, step: 6, reward_sum: 1624.96
TORCHFORT::WANDB: model: rlwm, step: 6, reward_sum: 1624.96
TORCHFORT::WANDB: model: rlwm, step: 7, reward_sum: 1604.77
TORCHFORT::WANDB: model: rlwm, step: 7, reward_sum: 1604.77
TORCHFORT::WANDB: model: rlwm, step: 7, reward_sum: 1604.77
TORCHFORT::WANDB: model: rlwm, step: 7, reward_sum: 1604.77
TORCHFORT::WANDB: model: rlwm, step: 8, reward_sum: 1522.68
TORCHFORT::WANDB: model: rlwm, step: 8, reward_sum: 1522.68
TORCHFORT::WANDB: model: rlwm, step: 8, reward_sum: 1522.68
TORCHFORT::WANDB: model: rlwm, step: 8, reward_sum: 1522.68
TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1442.89
TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1442.89
TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1442.89
TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1442.89
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1484.13
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1484.13
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1484.13
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1484.13
TORCHFORT::WANDB: model: critic_0, step: 1, train_loss: 0.1223
TORCHFORT::WANDB: model: critic_0, step: 1, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 1, train_loss: 0.455742
TORCHFORT::WANDB: model: actor, step: 1, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 1, train_loss: -2.672
TORCHFORT::WANDB: model: alpha, step: 1, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 2, train_loss: 0.1346
TORCHFORT::WANDB: model: critic_0, step: 2, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 2, train_loss: 0.50696
TORCHFORT::WANDB: model: actor, step: 2, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 2, train_loss: -2.65613
TORCHFORT::WANDB: model: alpha, step: 2, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 3, train_loss: 0.101037
TORCHFORT::WANDB: model: critic_0, step: 3, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 3, train_loss: 0.581767
TORCHFORT::WANDB: model: actor, step: 3, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 3, train_loss: -2.60714
TORCHFORT::WANDB: model: alpha, step: 3, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 4, train_loss: 0.0995724
TORCHFORT::WANDB: model: critic_0, step: 4, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 4, train_loss: 0.592938
TORCHFORT::WANDB: model: actor, step: 4, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 4, train_loss: -2.52003
TORCHFORT::WANDB: model: alpha, step: 4, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 5, train_loss: 0.106382
TORCHFORT::WANDB: model: critic_0, step: 5, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 5, train_loss: 0.557877
TORCHFORT::WANDB: model: actor, step: 5, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 5, train_loss: -2.46344
TORCHFORT::WANDB: model: alpha, step: 5, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 6, train_loss: 0.101225
TORCHFORT::WANDB: model: critic_0, step: 6, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 6, train_loss: 0.504327
TORCHFORT::WANDB: model: actor, step: 6, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 6, train_loss: -2.40383
TORCHFORT::WANDB: model: alpha, step: 6, train_lr: 0.0001
