TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 1, reward_sum: 1523.85
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 2, reward_sum: 1570.22
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
TORCHFORT::WANDB: model: rlwm, step: 3, reward_sum: 1492.51
